Site_ID,Name,Hierarchy,Primary_Typology,Secondary_Typology,Specific_Use,Site_Access,Site_Owner,Whole_Part,Site_Area_Ha,Ward
325,Bridlington Street,Neighbourhood,Provision for Children and Young People,,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0184,Hyson Green & Arboretum
436,Victoria Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.018,St Ann's
437,Victoria Park,Neighbourhood,Parks and Gardens,,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0179,St Ann's
439,Victoria Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0178,St Ann's
481,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,,Part of larger site,0.0179,Sherwood
486,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0184,Sherwood
559,Heskey Park,Neighbourhood,Provision for Children and Young People,,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0182,St Ann's
122,Brewsters Road play area,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Restricted access: other,Metropolitan Housing,Part of larger site,0.0168,Mapperley
624,Snape Wood,Local,Parks and Gardens,Provision for Children and Young People,Woodland,Freely accessible to public,Nottingham City Council,Part of larger site,0.0172,Bulwell
187,Ruddington Lane park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.017,Clifton West
296,Lambourne Drive Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,David Wilson Homes,Part of larger site,0.0162,Wollaton West
195,Sunninghill Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0165,Clifton East
617,Riber Crescent,,Provision for Children and Young People,Outdoor Sports Facility,,Freely accessible to public,,Part of larger site,0.0147,Basford
7,Valley Road Park - West - Outdoor gym,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0154,Sherwood
623,Snape Wood,Local,Parks and Gardens,Provision for Children and Young People,Woodland,Freely accessible to public,Nottingham City Council,Part of larger site,0.0153,Bulwell
495,Marmion Park,Local,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.015,St Ann's
