Site_ID,Name,Hierarchy,Primary_Typology,Secondary_Typology,Specific_Use,Site_Access,Site_Owner,Whole_Part,Site_Area_Ha,Ward
62,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Paddling Pool,Freely accessible to public,Nottingham City Council,Part of larger site,0.2454,Meadows
2401,Elliott Durham School,,Outdoor Sports Facility,,Football,No public access,,Part of larger site,1.995,Mapperley
93,Hempshill Lane Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.9917,Bulwell
266,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Cricket,Freely accessible to public,,Part of larger site,1.9537,Bilborough
2391,Clifton Village Cricket Club,,Outdoor Sports Facility,,Cricket,No access information,Notts Trent Uni,Part of larger site,1.9018,Clifton West
148,Bilborough Park,City,Parks and Gardens,Outdoor Sports Facility,Athletics,Freely accessible to public: opening hours,,Part of larger site,1.8684,Bilborough
2479,Wollaton Sports Association Cricket Pitch,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.7815,Wollaton West
2467,Wollaton Sports Association Football Pitch,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,1.7815,Wollaton West
2412,Highfields Sports Club,,Outdoor Sports Facility,,Synthetic Turf Pitch,No access information,,Part of larger site,1.5583,Lenton & Wollaton East
174,Stockhill Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.5459,Basford
265,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.3224,Bilborough
2387,Bulwell Mill Cricket Club,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.2432,Sherwood
2455,Grove Farm,,Provision for Children and Young People,,Surfaced Areas and Ball Courts,No public access,,Part of larger site,1.2377,Lenton & Wollaton East
2419,Meridian Cricket Ground,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.1508,Berridge
2383,"Boots Tennis Club, County Ground",,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,1.1023,Castle
2414,Highfields Sports Pitches,,Outdoor Sports Facility,,LAC,No access information,,Part of larger site,0.9731,Lenton & Wollaton East
20,Forest Recreation Ground,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,Nottingham City Council,Part of larger site,0.9192,Hyson Green & Arboretum
2481,Springhead Woodland LWS,,Natural and Semi Natural,,Woodland,Not Accessible,Unknown,Part of larger site,0.8444,Bulwell
449,Southglade Park,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,,Part of larger site,0.77,Bulwell Forest
2386,Bulwell Hall Golf Course,,Outdoor Sports Facility,,Golf Course,No access information,,Part of larger site,51.1601,Bulwell
2384,Bull Forest Golf Course,,Outdoor Sports Facility,,Golf Course,No access information,,Part of larger site,30.7469,Bulwell Forest
60,Victoria Embankment,Destination,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,18.5201,Meadows
2406,Grove Farm,,Outdoor Sports Facility,,Football,No public access,,Part of larger site,13.9011,Lenton & Wollaton East
453,Southglade Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,13.8236,Bulwell Forest
101,Clifton Playing Fields,,Outdoor Sports Facility,,Football,Freely accessible to public: opening hours,,Part of larger site,13.3438,Clifton East
211,Melbourne Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,12.4643,Leen Valley
26,Forest Recreation Ground,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,8.2574,Hyson Green & Arboretum
109,Mill Street,Local,Outdoor Sports Facility,,Playing Fields,Restricted access: members/tenants only,Nottingham City Council,Part of larger site,6.8681,Basford
2422,Nottingham Tennis Centre,,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,6.7403,Lenton & Wollaton East
543,Bulwell Hall Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,5.9685,Bulwell
157,Woodthorpe Grange Park,City,Parks and Gardens,Outdoor Sports Facility,Golf Course,Freely accessible to public,,Part of larger site,5.5843,Sherwood
147,Bilborough Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public: opening hours,,Part of larger site,5.5004,Bilborough
2436,Top Valley School,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,5.0839,Bulwell Forest
509,Vernon Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,4.9981,Basford
182,Moderns RFC,,Outdoor Sports Facility,Outdoor Sports Facility,Rugby,Freely accessible to public,,Part of larger site,4.7926,Clifton West
97,Clifton Playing Fields,,Outdoor Sports Facility,,Cricket,Freely accessible to public: opening hours,,Part of larger site,4.4762,Clifton East
2408,Haywood School detached former playing fields,Local,Outdoor Sports Facility,,Playing Fields,No access information,Nottingham City Council,Part of larger site,4.3729,Bestwood
2477,Charnwood Centre / Central College,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,4.3432,Clifton East
2403,Fernwood School,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,4.3186,Wollaton West
2395,Dave Eastwood Sports Ground,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,3.2401,Lenton & Wollaton East
158,Woodthorpe Grange Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,3.1712,Sherwood
2409,Henry Mellish School,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,3.0718,Bulwell Forest
131,Wollaton Park,Destination,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public: opening hours,,Part of larger site,3.0662,Wollaton West
2466,Ellis Guildford School,,Outdoor Sports Facility,,Football,No public access,,Part of larger site,2.6331,Basford
2388,Carrington Sports Ground,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,2.1248,Mapperley
2405,Greenwood Meadows FC,,Outdoor Sports Facility,,Sports Turf,No access information,Nottingham City Council,Part of larger site,2.0851,Lenton & Wollaton East
317,Highfields Park 1 (NCC Owned),Destination,Parks and Gardens,Outdoor Sports Facility,Croquet,Freely accessible to public,,Part of larger site,0.7635,Lenton & Wollaton East
2410,Highbury Vale Park,,Outdoor Sports Facility,,Playing Fields,No access information,Nottingham City Council,Part of larger site,0.7634,Basford
2,Valley Road Park - West - Tennis,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Tennis,Freely accessible to public,,Part of larger site,0.7495,Sherwood
2465,Charnwood Centre / Central College,,Outdoor Sports Facility,,Synthetic Turf Pitch,No access information,,Part of larger site,0.6729,Clifton East
149,Bilborough Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public: opening hours,,Part of larger site,0.6679,Bilborough
447,Southglade Park,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,,Part of larger site,0.6536,Bulwell Forest
2428,Park Tennis Club,,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,0.6517,Castle
25,Forest Recreation Ground,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,,Part of larger site,0.6351,Hyson Green & Arboretum
2381,Bilborough College,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,0.4558,Bilborough
98,Clifton Playing Fields,,Outdoor Sports Facility,,Tennis,Freely accessible to public: opening hours,,Part of larger site,0.4222,Clifton East
99,Clifton Playing Fields,,Outdoor Sports Facility,,Bowling Green,Freely accessible to public: opening hours,,Part of larger site,0.3364,Clifton East
574,Highbury Vale Park,Neighbourhood,Amenity Green Space,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.333,Basford
279,Pirate Park (Carrington Open Space),Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.321,Sherwood
3,Valley Road Park - West - Petanque,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Petanque,Freely accessible to public,,Part of larger site,0.3115,Sherwood
557,Heskey Park,Local,Provision for Children and Young People,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.308,St Ann's
318,Highfields Park 1 (NCC Owned),Destination,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.2985,Lenton & Wollaton East
2133,Bentinck Primary & Nursery School, ,Institutional,,School,No access information,Nottingham City Council,Part of larger site,0.2799,Hyson Green & Arboretum
226,Lenton Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.2772,Lenton & Wollaton East
2454,Ellis Guildford School,Not Accessible,Provision for Children and Young People,,Surfaced Areas and Ball Courts,No public access,,Part of larger site,0.2662,Basford
130,Wollaton Park,Destination,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.258,Wollaton West
180,Stockhill Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1451,Basford
2440,Wollaton Bowls Club,,Outdoor Sports Facility,,Bowling Green,No access information,,Part of larger site,0.1454,Wollaton West
281,Kennington Road Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1434,Lenton & Wollaton East
2453,Elliott Durham School,Not Accessible,Provision for Children and Young People,,Surfaced Areas and Ball Courts,No public access,,Part of larger site,0.1421,Mapperley
188,Ruddington Lane park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1363,Clifton West
59,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Football,Freely accessible to public,,Part of larger site,0.1337,Meadows
19,Forest Recreation Ground,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1343,Hyson Green & Arboretum
63,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.133,Meadows
485,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,BMX Track,Freely accessible to public,Nottingham City Council,Part of larger site,0.1313,Sherwood
22,Forest Recreation Ground,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1208,Hyson Green & Arboretum
512,Vernon Park,City,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.1181,Basford
398,Colesbourne Road Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingahm City Council,Part of larger site,0.1133,Clifton East
153,Barton Green open space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.113,Clifton West
545,Bulwell Hall Park,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1084,Bulwell
176,Stockhill Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,,Part of larger site,0.1085,Basford
117,Strelley Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.1048,Bilborough
88,King Edward Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.1045,St Ann's
139,Silverdale Open Space,Neighbourhood,Natural and Semi Natural,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1026,Clifton West
533,Latimer Close Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.101,Bulwell Forest
470,Fernwood Crescent (Rushford Drive) Park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0991,Wollaton West
231,Bulwell Forest Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0991,Bulwell Forest
140,Queens Walk Recreation Ground,Neighbourhood,Parks and Gardens,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0545,Meadows
494,Marmion Park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0967,St Ann's
103,Clifton Playing Fields,Destination,Outdoor Sports Facility,Provision for Children and Young People,Skate Park,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0957,Clifton East
445,Parkdale Road Open Space,Local,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0953,Dales
338,Mosswood Crescent Open Space,Local,Natural and Semi Natural,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0949,Bestwood
263,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0931,Bilborough
71,Lenton Abbey Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Tennis,Freely accessible to public: opening hours,,Part of larger site,0.0918,Lenton & Wollaton East
517,Whitemoor Drive Open Space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,,Part of larger site,0.0898,Basford
217,Independent Street Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0886,Radford
152,Barton Green open space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0867,Clifton West
28,Broxtowe Country Park,City,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0863,Aspley
45,Angell Green park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0842,Clifton West
146,Bilborough Park,City,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0816,Bilborough
21,Forest Recreation Ground,City,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,,Part of larger site,0.0814,Hyson Green & Arboretum
61,Victoria Embankment,Destination,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,0.0811,Meadows
365,Sycamore Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0803,Mapperley
245,Greenway Community Centre,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0787,Dales
450,Southglade Park,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0781,Bulwell Forest
510,Vernon Park,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0777,Basford
80,Scafell Way Open Space,Local,Provision for Children and Young People,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0768,Clifton East
106,Basford Hall Open Space,Neighbourhood,Parks and Gardens,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0769,Basford
144,Queens Walk Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0763,Meadows
531,Christ Church Rest Garden,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0755,Radford
451,Southglade Park,City,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,,Part of larger site,0.0751,Bulwell Forest
357,Bulwell Bogs,City,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0726,Bulwell
168,Colwick Country Park,City,Natural and Semi Natural,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0724,Dales
94,Hempshill Lane Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0713,Bulwell
240,Seaford Avenue Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0711,Wollaton West
463,Whitwell Road Open Space,Local,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0704,Aspley
206,John Carroll Leisure Centre,Local,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0681,Radford
207,John Carroll Leisure Centre,,Provision for Children and Young People,,Surfaced Areas and Ball Courts,Freely accessible to public,,Part of larger site,0.0683,Radford
387,Radford Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.068,Radford
348,St Anns Wells Road Open Space,Local,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0662,St Ann's
118,Strelley Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0651,Bilborough
349,St Anns Wells Road Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0651,St Ann's
119,Strelley Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Tennis Courts,Freely accessible to public,,Part of larger site,0.0649,Bilborough
53,King George V Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0639,Leen Valley
583,Colwick Woods LNR,City,Natural and Semi Natural,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0634,Dales
29,Broxtowe Country Park,City,Parks and Gardens,Provision for Children and Young People,BMX Track,Freely accessible to public,Nottingham City Council,Part of larger site,0.2391,Aspley
2437,Trinity School,,Outdoor Sports Facility,,Synthetic Turf Pitch,No access information,,Part of larger site,0.228,Leen Valley
55,King George V Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.2267,Leen Valley
366,Sycamore Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.2208,Mapperley
544,Bulwell Hall Park,City,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.2143,Bulwell
58,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.2046,Meadows
2450,Bells Lane Community Centre,Not Accessible,Provision for Children and Young People,,Surfaced Areas and Ball Courts,No public access,,Part of larger site,0.1972,Aspley
507,Vernon Park,City,Parks and Gardens,Outdoor Sports Facility,Tennis Courts,Freely accessible to public,,Part of larger site,0.1861,Basford
2400,EBA Headquarters,,Outdoor Sports Facility,,Bowling Green,No access information,,Part of larger site,0.1845,Castle
2478,Ellis Guildford School,,Outdoor Sports Facility,,Tennis,No public access,,Part of larger site,0.1815,Basford
316,Highfields Park 1 (NCC Owned),Destination,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1747,Lenton & Wollaton East
335,Locksley (Groveside) Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1746,Clifton West
452,Southglade Park,City,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,,Part of larger site,0.1712,Bulwell Forest
70,Lenton Abbey Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public: opening hours,,Part of larger site,0.1657,Lenton & Wollaton East
143,Queens Walk Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1626,Meadows
584,Colwick Woods LNR,City,Natural and Semi Natural,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1604,Dales
518,Whitemoor Drive Open Space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.1588,Basford
2468,Wollaton Sports Association Tennis Courts,,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,0.1578,Wollaton West
178,Stockhill Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Tennis,Freely accessible to public,,Part of larger site,0.1533,Basford
120,Strelley Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1506,Bilborough
508,Vernon Park,City,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1471,Basford
84,King Edward Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Skate Park,Freely accessible to public,Nottingham City Council,Part of larger site,0.1466,St Ann's
233,Bulwell Forest Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Bowling Green,Freely accessible to public,,Part of larger site,0.1456,Bulwell Forest
300,Bobbersmill Open Space,Local,Amenity Green Space,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0518,Hyson Green & Arboretum
87,King Edward Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0521,St Ann's
212,Melbourne Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.052,Leen Valley
69,Lenton Abbey Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0498,Lenton & Wollaton East
522,Greens Windmill,Destination,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0498,Dales
102,Clifton Playing Fields,Destination,Outdoor Sports Facility,,BMX Track,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.049,Clifton East
161,Heathfield Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0486,Basford
252,Gawthorne Street Open Space,Neighbourhood,Provision for Children and Young People,,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0493,Berridge
344,Clifton Central Park,Neighbourhood,Parks and Gardens,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.048,Clifton East
142,Queens Walk Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0186,Meadows
283,Kennington Road Open Space,Neighbourhood,Provision for Children and Young People,,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0428,Lenton & Wollaton East
57,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,,Part of larger site,0.043,Meadows
2115,Ye Olde Trip to Jerusalem garden, ,Amenity Green Space,,Grass,No access information, ,Part of larger site,0.0422,Castle
384,Dunkirk Road Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0423,Lenton & Wollaton East
193,Sunninghill Open Space,Local,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0419,Clifton East
44,Angell Green park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0408,Clifton West
213,Melbourne Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0414,Leen Valley
251,Gawthorne Street Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0397,Berridge
6,Valley Road Park - West - Skate Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Skate Park,Freely accessible to public,Nottingham City Council,Part of larger site,0.0404,Sherwood
4,Valley Road Park - West - Play Area,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0397,Sherwood
113,Fearnleigh (aka Pennant) Park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0389,Basford
560,Heskey Park,City,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0388,St Ann's
424,Coppice Recreation Ground,Neighbourhood,Parks and Gardens,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0392,Mapperley
162,Heathfield Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0391,Basford
78,Torville Drive Open Space,Neighbourhood,Amenity Green Space,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0394,Wollaton West
324,Bridlington Street,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0383,Hyson Green & Arboretum
194,Sunninghill Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0381,Clifton East
81,Scafell Way Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0378,Clifton East
225,Lenton Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0374,Lenton & Wollaton East
619,"The Green, Meadows",,Provision for Children and Young People,,Equipped children's play area,Freely accessible to public,,Part of larger site,0.0367,Meadows
420,Breckswood Drive Open Space,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0369,Clifton East
229,Bulwell Forest Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0359,Bulwell Forest
374,Shipstone Street Open Space,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0354,Berridge
65,Lenton Abbey Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0351,Lenton & Wollaton East
